Res Des,Mid X(mm),Mid Y(mm),Rotation,Comment,Package,LCSC Part number
BOOT_BUTTON,24.33,107.37,180,BUTTON_CUSYOMV1,MYBUTTON,
C1,157.66,8.63,90,100nF,EAGLE-LTSPICE_C0402,
C10,67.06,106.91,90,100nF,EAGLE-LTSPICE_C0402,
C10_SUPERCAP,88.66,53.04,270,CPH3225A,CAPCP3225X100N,
C1_BAT,130.56,37.55,90,4.7uF,EAGLE-LTSPICE_C0402,
C1_BAT1,119.09,39.47,90,4.7uF,EAGLE-LTSPICE_C0402,
C2,155.04,8.63,90,100nF,EAGLE-LTSPICE_C0402,
C2_BAT,128.68,53.63,90,4.7uF,EAGLE-LTSPICE_C0402,
C3,127.01,35.8,90,100uF TANT,RCL_CT3528,
C4,65.09,45.39,0,4.7uF/25V,EAGLE-LTSPICE_C0402,
C4_USB,152.83,55.47,90,100nF,EAGLE-LTSPICE_C0402,
C5,55.63,92.91,90,1uF,EAGLE-LTSPICE_C0402,
C5_USB,140.68,50.55,90,4.7uF,EAGLE-LTSPICE_C0402,
C6,28.38,106.72,90,100nF,EAGLE-LTSPICE_C0402,
C7,72.22,38.71,90,10uF,EAGLE-LTSPICE_C0402,
C8,84.8,52.63,90,100nF,EAGLE-LTSPICE_C0402,
C9,4.23,96.93,0,100nF,EAGLE-LTSPICE_C0402,
CHANGE_BUTTON,62.54,107.33,180,BUTTON_CUSYOMV1,MYBUTTON,
CHG_LED,117.34,48.75,90,,ADAFRUIT_CHIP-LED0603,
C_DELAY,54.61,106.39,90,100nF,EAGLE-LTSPICE_C0402,
D1,147.78,53.1,0,USBLC6-2SC6Y,SOT95P280X145-6N,
D10,112.42,12.87,0,PGB1010603MR,DIOC1608X36N,
D11,102.8,12.87,0,PGB1010603MR,DIOC1608X36N,
D12,93.18,12.87,0,PGB1010603MR,DIOC1608X36N,
D2,113.23,33.68,90,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,
D3,82.22,31.95,0,MBR0530,SOD3716X135N,
D4,85.06,27.95,0,MBR0530,SOD3716X135N,
